datetime,Humidity,Pressure,Temperature,Weather Description,Wind Dirn,Win Speed
2012-10-01 13:00:00,58,1012,288.22,few clouds,260,7
2012-10-01 14:00:00,57,1012,288.24767617,few clouds,260,7
2012-10-01 15:00:00,57,1012,288.326939663,few clouds,260,7
2012-10-01 16:00:00,57,1012,288.406203155,few clouds,260,7
2012-10-01 17:00:00,57,1012,288.485466648,few clouds,261,6
2012-10-01 18:00:00,56,1012,288.564730141,few clouds,261,6
2012-10-01 19:00:00,56,1012,288.643993634,few clouds,262,6
2012-10-01 20:00:00,56,1012,288.723257127,few clouds,262,6
2012-10-01 21:00:00,55,1012,288.80252062,few clouds,263,6
2012-10-01 22:00:00,55,1012,288.881784113,few clouds,263,6
2012-10-01 23:00:00,55,1012,288.961047606,few clouds,263,6
2012-10-02 00:00:00,55,1012,289.040311099,few clouds,264,6
2012-10-02 01:00:00,54,1012,289.119574592,few clouds,264,6
2012-10-02 02:00:00,54,1012,289.198838085,few clouds,265,6
2012-10-02 03:00:00,54,1012,289.278101578,few clouds,265,6
2012-10-02 04:00:00,53,1012,289.357365071,few clouds,265,6
2012-10-02 05:00:00,53,1012,289.436628564,few clouds,266,6
2012-10-02 06:00:00,53,1012,289.515892057,few clouds,266,6
2012-10-02 07:00:00,53,1012,289.595155549,few clouds,267,6
2012-10-02 08:00:00,52,1012,289.674419042,few clouds,267,6
2012-10-02 09:00:00,52,1012,289.753682535,few clouds,267,6
2012-10-02 10:00:00,52,1012,289.832946028,few clouds,268,5
2012-10-02 11:00:00,51,1012,289.912209521,few clouds,268,5
2012-10-02 12:00:00,51,1012,289.991473014,few clouds,269,5
2012-10-02 13:00:00,51,1012,290.070736507,few clouds,269,5
2012-10-02 14:00:00,51,1012,290.15,few clouds,270,5
2012-10-02 15:00:00,52,1012,291.32,few clouds,270,5
2012-10-02 16:00:00,,,291.78,sky is clear,303,2
2012-10-02 17:00:00,,,292.74,sky is clear,285,1
2012-10-02 18:00:00,46,1011,293.82,scattered clouds,250,6
2012-10-02 19:00:00,,,294.08,sky is clear,288,1
2012-10-02 20:00:00,43,1012,294.72,scattered clouds,240,5
2012-10-02 21:00:00,,,294.85,sky is clear,269,1
2012-10-02 22:00:00,43,1012,293.2,scattered clouds,270,5
2012-10-02 23:00:00,46,1013,290.98,broken clouds,260,5
2012-10-03 00:00:00,46,1014,289.84,broken clouds,270,4
2012-10-03 01:00:00,46,1014,288.99,sky is clear,250,4
2012-10-03 02:00:00,46,1015,288.8,broken clouds,270,4
2012-10-03 03:00:00,59,1015,288.6,broken clouds,0,0
2012-10-03 04:00:00,55,1015,288.54,broken clouds,330,2
2012-10-03 05:00:00,52,1015,288.6,overcast clouds,230,1
2012-10-03 06:00:00,55,1015,288.85,broken clouds,210,3
2012-10-03 07:00:00,52,1015,289.05,overcast clouds,230,2
2012-10-03 08:00:00,63,1015,289.17,overcast clouds,0,0
2012-10-03 09:00:00,52,1015,289.36,overcast clouds,0,0
2012-10-03 10:00:00,59,1016,289.5,overcast clouds,0,0
2012-10-03 11:00:00,100,1016,289.56,overcast clouds,0,0
2012-10-03 12:00:00,81,1016,290.37,overcast clouds,80,1
2012-10-03 13:00:00,63,1017,291.18,overcast clouds,160,2
2012-10-03 14:00:00,60,1017,292.88,overcast clouds,130,2
2012-10-03 15:00:00,64,1017,292.263333333,broken clouds,123,3
2012-10-03 16:00:00,68,1017,291.646666667,broken clouds,116,3
2012-10-03 17:00:00,72,1017,291.03,mist,110,4
2012-10-03 18:00:00,82,1016,290.7,mist,80,3
