,Year,Months,Day,MaxTemp,AvgTemp,MinTemp,MaxHumid,MinHumid,AvgHumid,MaxPressure,AvgPressure,MinPressure,MaxSpeed,AvgSpeed,MinSpeed,AvgDirn,Weather Description,Temp6,Temp12,Temp20,Humid6,Humid12,Humid20,Press6,Press12,Press20,WindDirn6,WindDirn12,WindDirn20,WinSpeed6,WinSpeed12,WinSpeed20,WeatherDiscpc6,WeatherDiscpc12,WeatherDiscpc20
0,2012,10,02,22.7,18.74,16.89,55.0,43.0,50.5,1013.0,1011.96,1011.0,6,4.83,1,268.12,0.0,17.37,17.84,22.57,53.0,51.0,43.0,1012.0,1012.0,1012.0,266,269,240,6,5,5,0.0,0.0,0.0
1,2012,10,03,20.73,17.92,16.39,100.0,46.0,68.54,1017.0,1015.54,1014.0,5,2.42,0,118.92,0.0,16.7,18.22,18.47,55.0,81.0,93.0,1015.0,1016.0,1015.0,210,80,60,3,1,4,1.0,0.0,0.0
2,2012,10,04,23.12,19.84,17.97,100.0,83.0,95.0,1018.0,1016.88,1015.0,3,1.88,0,71.96,0.0,18.09,18.69,22.83,100.0,100.0,88.0,1016.0,1018.0,1018.0,40,30,40,3,2,3,0.0,0.0,0.0
3,2012,10,05,24.12,21.89,19.43,100.0,78.0,93.04,1020.0,1019.25,1017.0,4,1.38,0,49.58,0.0,20.71,21.03,23.72,100.0,94.0,83.0,1020.0,1020.0,1018.0,0,0,160,0,0,3,0.0,0.0,0.0
4,2012,10,06,27.63,20.8,15.63,100.0,39.0,71.04,1018.0,1016.92,1014.0,4,1.67,0,186.5,0.0,17.12,16.09,27.63,88.0,72.0,39.0,1018.0,1018.0,1014.0,320,290,260,2,1,2,0.0,0.0,0.0
5,2012,10,07,25.69,19.88,15.86,93.0,50.0,66.46,1015.0,1011.12,1007.0,9,4.54,0,209.17,0.0,17.62,17.49,22.28,73.0,77.0,56.0,1012.0,1011.0,1008.0,140,220,250,2,4,8,0.0,0.0,1.0
6,2012,10,08,14.66,11.5,7.49,76.0,50.0,62.25,1019.0,1017.08,1014.0,8,2.92,0,234.88,0.0,10.88,10.72,12.44,54.0,54.0,71.0,1017.0,1018.0,1017.0,330,350,230,5,2,1,0.0,1.0,0.0
7,2012,10,09,13.63,10.3,5.87,87.0,54.0,69.92,1025.0,1022.04,1018.0,5,2.88,0,257.88,0.0,7.55,8.25,13.48,76.0,76.0,58.0,1020.0,1023.0,1024.0,320,320,227,4,4,0,0.0,0.0,0.0
8,2012,10,10,16.45,12.74,10.72,93.0,44.0,76.71,1025.0,1021.92,1013.0,6,3.29,0,73.21,0.0,10.72,11.75,15.03,71.0,81.0,93.0,1023.0,1022.0,1020.0,70,30,257,3,4,0,0.0,0.0,0.0
9,2012,10,11,19.15,15.81,13.02,100.0,48.0,85.04,1017.0,1013.38,1009.0,7,4.54,0,98.62,0.0,15.81,13.39,19.15,92.0,93.0,73.0,1013.0,1015.0,1013.0,48,40,258,6,5,6,0.0,0.0,0.0
10,2012,10,12,16.61,13.08,8.77,58.0,31.0,46.96,1023.0,1018.46,1011.0,10,5.42,1,280.21,0.0,11.36,9.88,16.61,54.0,53.0,31.0,1016.0,1021.0,1021.0,300,300,260,6,6,4,0.0,0.0,0.0
11,2012,10,13,14.95,11.04,5.89,81.0,39.0,59.21,1026.0,1019.46,1013.0,9,4.42,0,233.92,0.0,7.27,8.2,13.02,75.0,62.0,54.0,1021.0,1019.0,1022.0,0,230,300,0,4,9,0.0,0.0,1.0
12,2012,10,14,12.94,7.52,0.67,74.0,27.0,46.04,1034.0,1030.79,1027.0,8,3.12,0,146.67,0.0,4.28,3.08,12.94,48.0,48.0,27.0,1031.0,1033.0,1029.0,10,360,180,3,2,4,0.0,0.0,0.0
13,2012,10,15,22.8,15.13,10.48,76.0,43.0,62.0,1028.0,1022.92,1016.0,7,4.54,1,216.46,1.0,11.5,13.23,22.63,66.0,76.0,46.0,1025.0,1023.0,1017.0,210,210,200,7,4,6,0.0,1.0,1.0
14,2012,10,16,22.9,19.1,16.41,93.0,60.0,73.33,1016.0,1009.54,1004.0,6,4.04,0,199.71,0.0,16.53,17.79,20.58,82.0,82.0,64.0,1013.0,1008.0,1004.0,190,180,220,3,4,4,0.0,0.0,0.0
15,2012,10,17,17.25,14.37,11.72,88.0,50.0,61.12,1011.0,1006.92,1004.0,10,4.5,0,298.96,0.0,14.52,11.93,15.75,67.0,58.0,50.0,1005.0,1008.0,1009.0,310,310,297,5,7,2,0.0,0.0,0.0
16,2012,10,18,18.01,10.54,4.19,81.0,39.0,57.12,1017.0,1014.42,1012.0,5,2.12,0,234.67,0.0,5.95,7.17,18.01,65.0,66.0,39.0,1014.0,1016.0,1014.0,360,70,0,2,2,2,0.0,0.0,1.0
17,2012,10,19,19.83,12.53,5.85,93.0,52.0,70.25,1017.0,1016.12,1015.0,6,2.42,0,100.42,0.0,8.13,7.52,19.26,76.0,93.0,52.0,1016.0,1017.0,1015.0,0,20,140,0,1,5,0.0,0.0,1.0
