,Months,MaxTemp,AvgTemp,MinTemp,MinHumid,MaxPressure,MaxSpeed,AvgSpeed,MinSpeed,AvgDirn,Temp6,Temp12,Temp20,Press12,WinSpeed6,WinSpeed12,minTemp_next
1651,4,26.16,16.16,8.0,23.0,1023.0,7,3.29,1,220.38,11.07,8.13,26.16,1023.0,3,1,12.42
1652,4,27.75,20.51,12.42,21.0,1021.0,6,3.21,1,210.08,16.62,12.97,27.67,1021.0,3,3,13.68
1653,4,24.83,19.16,13.68,22.0,1022.0,7,2.58,1,241.21,16.37,13.82,22.91,1020.0,3,1,10.46
1654,4,23.53,14.98,10.46,20.0,1041.0,7,3.75,1,324.67,13.86,11.49,18.14,1040.0,2,3,7.17
1655,4,18.66,13.04,7.17,20.0,1030.0,6,3.38,1,191.62,9.03,8.65,18.49,1029.0,2,2,7.04
1656,4,18.55,13.17,7.04,37.0,1029.0,8,3.96,2,189.17,9.27,7.78,18.38,1029.0,2,3,15.32
1657,4,30.14,20.86,15.32,27.0,1021.0,9,4.5,2,219.58,15.98,16.25,28.84,1016.0,3,2,18.05
1658,4,27.91,21.14,18.05,19.0,1016.0,8,5.79,3,295.83,20.14,18.5,22.71,1013.0,5,5,9.89
1659,4,20.36,15.05,9.89,22.0,1030.0,8,5.0,1,193.33,13.99,10.34,17.76,1027.0,6,4,8.06
1660,4,13.64,10.4,8.06,54.0,1034.0,7,5.17,3,133.33,8.99,8.37,12.3,1034.0,3,6,10.46
1661,4,19.08,13.47,10.46,55.0,1026.0,5,3.08,1,99.42,11.29,11.39,19.08,1020.0,2,2,10.22
1662,4,16.57,12.4,10.22,67.0,1018.0,8,5.17,2,73.33,11.99,10.22,13.37,1016.0,4,7,10.86
1663,4,13.54,12.25,10.86,71.0,1014.0,8,3.33,1,81.88,10.86,11.83,13.33,1013.0,4,4,6.75
1664,4,18.75,12.53,6.75,31.0,1020.0,6,3.17,1,190.83,9.26,7.66,18.59,1020.0,3,2,7.04
1665,4,16.18,12.14,7.04,58.0,1022.0,6,2.79,1,105.29,9.77,8.24,15.78,1022.0,1,2,11.38
1666,4,14.16,12.75,11.38,66.0,1021.0,13,7.71,3,55.0,12.29,11.38,13.61,1019.0,7,6,12.77
1667,4,17.4,14.31,12.77,82.0,1012.0,12,5.79,2,59.17,13.0,12.99,17.31,1007.0,9,3,15.15
1668,4,21.77,17.5,15.15,64.0,1013.0,7,2.62,1,93.88,15.15,15.84,21.54,1013.0,1,1,15.16
1669,4,28.91,20.15,15.16,32.0,1016.0,7,3.04,1,104.92,15.24,16.23,28.91,1015.0,2,2,17.83
