,maxTemp_next
1651,27.75
1652,24.83
1653,23.53
1654,18.66
1655,18.55
1656,30.14
1657,27.91
1658,20.36
1659,13.64
1660,19.08
1661,16.57
1662,13.54
1663,18.75
1664,16.18
1665,14.16
1666,17.4
1667,21.77
1668,28.91
1669,29.37
1670,27.15
1671,23.71
1672,23.54
1673,21.38
1674,16.92
1675,15.99
1676,18.76
1677,15.92
1678,14.71
1679,16.74
1680,17.77
1681,16.85
1682,17.17
1683,14.09
1684,19.26
1685,20.99
1686,26.92
1687,32.91
1688,34.46
1689,33.15
1690,31.53
1691,20.24
1692,16.85
1693,20.84
1694,21.38
1695,18.58
1696,23.77
1697,23.0
1698,22.92
1699,19.0
1700,16.07
1701,25.07
1702,26.71
1703,25.28
1704,23.92
1705,23.47
1706,21.54
1707,19.36
1708,20.3
1709,21.78
1710,28.3
1711,30.91
1712,33.74
1713,34.58
1714,35.57
1715,33.58
1716,25.31
1717,22.39
1718,23.77
1719,30.37
1720,31.99
1721,29.42
1722,30.0
1723,29.99
1724,29.37
1725,30.15
1726,29.16
1727,27.24
1728,25.41
1729,27.25
1730,28.75
1731,32.25
1732,29.39
1733,32.15
1734,31.46
1735,29.76
1736,29.08
1737,26.16
1738,28.57
1739,29.43
1740,28.41
1741,29.53
1742,29.99
1743,31.92
1744,32.92
1745,25.86
1746,29.06
1747,29.84
1748,29.76
1749,30.91
1750,34.15
1751,34.4
1752,33.57
1753,32.09
1754,27.99
1755,24.63
1756,22.58
1757,25.0
1758,25.75
1759,29.33
1760,26.3
1761,28.23
1762,31.46
1763,32.44
1764,30.07
1765,30.16
1766,29.92
1767,26.83
1768,24.83
1769,22.76
1770,26.58
1771,28.75
1772,29.27
1773,27.75
1774,26.0
1775,29.17
1776,27.84
1777,25.38
1778,30.15
1779,28.92
1780,28.75
1781,30.76
1782,29.0
1783,30.58
1784,32.45
1785,30.24
1786,26.92
1787,25.75
1788,25.36
1789,25.33
1790,24.0
1791,20.69
1792,26.15
1793,27.92
1794,22.83
1795,19.75
1796,22.33
1797,27.72
1798,30.17
1799,24.66
1800,23.27
1801,22.73
1802,21.36
1803,23.36
1804,25.66
1805,26.99
1806,27.72
1807,27.58
1808,27.82
1809,27.73
1810,27.18
1811,23.92
1812,26.28
1813,27.19
1814,28.0
1815,28.91
1816,31.42
1817,32.8
1818,31.09
1819,28.46
1820,30.64
1821,26.45
1822,20.33
1823,18.0
1824,20.54
1825,23.33
1826,21.53
1827,24.85
1828,28.66
1829,27.84
1830,27.58
1831,26.73
1832,25.08
1833,27.84
1834,24.16
1835,20.07
1836,19.07
1837,22.75
1838,23.16
1839,21.5
1840,16.0
1841,23.46
1842,23.09
1843,24.15
1844,26.63
1845,24.42
1846,23.67
1847,24.08
1848,20.75
1849,15.91
1850,17.83
