,maxTemp_next,Temp20,AvgTemp,MinTemp,Temp12,Temp6,Months,Humid6,Humid12,WindDirn20,MaxPressure,AvgDirn,MaxSpeed,WinSpeed6,WinSpeed12,AvgSpeed
1651,27.75,26.16,16.16,8.0,8.13,11.07,4,43.0,57.0,260,1023.0,220.38,7,3,1,3.29
1652,24.83,27.67,20.51,12.42,12.97,16.62,4,48.0,67.0,250,1021.0,210.08,6,3,3,3.21
1653,23.53,22.91,19.16,13.68,13.82,16.37,4,59.0,87.0,290,1022.0,241.21,7,3,1,2.58
1654,18.66,18.14,14.98,10.46,11.49,13.86,4,47.0,58.0,310,1041.0,324.67,7,2,3,3.75
1655,18.55,18.49,13.04,7.17,8.65,9.03,4,37.0,40.0,179,1030.0,191.62,6,2,2,3.38
1656,30.14,18.38,13.17,7.04,7.78,9.27,4,46.0,50.0,170,1029.0,189.17,8,2,3,3.96
1657,27.91,28.84,20.86,15.32,16.25,15.98,4,77.0,72.0,240,1021.0,219.58,9,3,2,4.5
1658,20.36,22.71,21.14,18.05,18.5,20.14,4,60.0,64.0,340,1016.0,295.83,8,5,5,5.79
1659,13.64,17.76,15.05,9.89,10.34,13.99,4,33.0,50.0,150,1030.0,193.33,8,6,4,5.0
1660,19.08,12.3,10.4,8.06,8.37,8.99,4,70.0,65.0,170,1034.0,133.33,7,3,6,5.17
1661,16.57,19.08,13.47,10.46,11.39,11.29,4,76.0,87.0,40,1026.0,99.42,5,2,2,3.08
1662,13.54,13.37,12.4,10.22,10.22,11.99,4,81.0,93.0,10,1018.0,73.33,8,4,7,5.17
1663,18.75,13.33,12.25,10.86,11.83,10.86,4,93.0,76.0,313,1014.0,81.88,8,4,4,3.33
1664,16.18,18.59,12.53,6.75,7.66,9.26,4,57.0,53.0,180,1020.0,190.83,6,3,2,3.17
1665,14.16,15.78,12.14,7.04,8.24,9.77,4,62.0,81.0,50,1022.0,105.29,6,1,2,2.79
1666,17.4,13.61,12.75,11.38,11.38,12.29,4,87.0,87.0,60,1021.0,55.0,13,7,6,7.71
1667,21.77,17.31,14.31,12.77,12.99,13.0,4,93.0,93.0,60,1012.0,59.17,12,9,3,5.79
1668,28.91,21.54,17.5,15.15,15.84,15.15,4,100.0,87.0,170,1013.0,93.88,7,1,1,2.62
1669,29.37,28.91,20.15,15.16,16.23,15.24,4,93.0,100.0,180,1016.0,104.92,7,2,2,3.04
1670,27.15,29.37,23.21,17.83,18.05,19.1,4,53.0,88.0,260,1018.0,217.38,11,4,2,4.29
1671,23.71,15.54,18.19,13.69,15.48,19.35,4,45.0,41.0,130,1024.0,158.75,7,4,4,4.83
1672,23.54,22.49,14.55,10.49,11.07,11.38,5,81.0,93.0,50,1022.0,59.58,7,4,4,4.42
1673,21.38,23.37,21.8,19.5,19.5,20.71,5,82.0,77.0,270,1006.0,227.92,11,4,3,5.5
1674,16.92,18.3,17.37,14.9,15.22,17.0,5,38.0,41.0,320,1016.0,301.62,10,5,8,6.5
1675,15.99,16.39,12.51,6.06,8.11,9.14,5,43.0,66.0,150,1026.0,229.17,6,3,1,3.5
1676,18.76,15.08,12.98,11.46,11.99,11.85,5,81.0,87.0,159,1022.0,120.25,9,5,4,4.29
1677,15.92,17.53,17.05,15.84,16.54,15.94,5,100.0,100.0,160,1001.0,166.54,6,3,6,3.62
1678,14.71,12.51,12.5,10.77,11.06,11.71,5,71.0,62.0,280,1006.0,272.38,10,4,4,3.92
1679,16.74,13.99,10.35,6.06,7.75,7.76,5,70.0,65.0,290,1013.0,287.29,7,2,5,3.96
1680,17.77,15.84,11.71,6.55,7.56,9.63,5,53.0,61.0,20,1016.0,214.67,4,2,2,2.58
1681,16.85,17.77,13.23,9.38,10.14,10.76,5,54.0,66.0,160,1017.0,121.54,5,1,1,2.04
1682,17.17,16.85,12.56,8.07,9.74,9.22,5,76.0,53.0,150,1018.0,142.92,5,1,3,2.21
1683,14.09,16.46,12.54,7.78,9.04,9.14,5,76.0,71.0,140,1018.0,133.17,5,1,1,2.5
1684,19.26,11.25,11.57,9.58,10.58,12.21,5,66.0,81.0,70,1017.0,107.08,8,5,4,4.17
1685,20.99,18.5,12.51,8.58,9.99,9.24,5,87.0,76.0,271,1009.0,238.17,7,3,2,4.0
1686,26.92,19.74,15.85,12.45,13.74,12.54,5,66.0,62.0,350,1010.0,322.5,10,6,6,6.46
1687,32.91,26.61,19.26,12.99,14.05,15.21,5,54.0,58.0,290,1017.0,299.21,6,3,2,3.58
1688,34.46,32.3,23.32,14.88,16.76,17.72,5,100.0,63.0,230,1017.0,243.33,6,1,1,2.83
1689,33.15,34.46,28.28,21.99,22.69,24.1,5,54.0,61.0,280,1015.0,219.67,7,4,2,3.62
1690,31.53,32.78,29.1,23.75,24.68,26.92,5,54.0,69.0,300,1013.0,260.0,6,3,2,3.58
1691,20.24,17.77,19.37,15.77,15.77,19.71,5,52.0,71.0,145,1027.0,101.21,7,5,3,3.62
1692,16.85,20.15,15.35,10.22,12.42,11.99,5,66.0,87.0,150,1029.0,131.79,5,1,1,2.46
1693,20.84,16.14,14.88,13.46,13.65,14.61,5,67.0,67.0,170,1025.0,140.42,5,2,2,2.25
1694,21.38,20.84,17.38,14.2,15.14,16.35,5,93.0,82.0,341,1015.0,146.75,4,4,2,2.08
1695,18.58,21.38,17.61,14.21,14.84,15.91,5,55.0,87.0,100,1011.0,123.75,8,1,1,2.33
1696,23.77,15.92,15.38,14.07,14.14,14.69,5,82.0,93.0,80,1011.0,88.75,8,4,4,4.29
1697,23.0,23.69,17.93,14.21,14.5,14.85,5,93.0,93.0,320,1005.0,241.33,10,5,3,4.12
1698,22.92,22.76,19.66,13.93,15.83,17.43,5,67.0,87.0,30,1013.0,245.17,5,3,1,2.17
