,minTemp_next
1651,12.42
1652,13.68
1653,10.46
1654,7.17
1655,7.04
1656,15.32
1657,18.05
1658,9.89
1659,8.06
1660,10.46
1661,10.22
1662,10.86
1663,6.75
1664,7.04
1665,11.38
1666,12.77
1667,15.15
1668,15.16
1669,17.83
1670,13.69
1671,10.49
1672,19.5
1673,14.9
1674,6.06
1675,11.46
1676,15.84
1677,10.77
1678,6.06
1679,6.55
1680,9.38
1681,8.07
1682,7.78
1683,9.58
1684,8.58
1685,12.45
1686,12.99
1687,14.88
1688,21.99
1689,23.75
1690,15.77
1691,10.22
1692,13.46
1693,14.2
1694,14.21
1695,14.07
1696,14.21
1697,13.93
1698,14.92
1699,14.49
1700,13.57
1701,14.84
1702,15.21
1703,12.78
1704,12.71
1705,11.46
1706,15.46
1707,13.92
1708,11.91
1709,11.38
1710,11.22
1711,16.28
1712,20.27
1713,21.23
1714,22.49
1715,22.71
1716,17.43
1717,17.07
1718,19.23
1719,22.08
1720,22.64
1721,22.23
1722,18.95
1723,17.75
1724,24.59
1725,22.92
1726,18.46
1727,16.35
1728,16.67
1729,14.6
1730,18.36
1731,22.91
1732,22.46
1733,22.69
1734,21.07
1735,20.77
1736,20.06
1737,20.92
1738,21.17
1739,20.66
1740,18.29
1741,18.3
1742,22.85
1743,24.14
1744,25.28
1745,19.42
1746,20.84
1747,19.43
1748,21.25
1749,22.74
1750,24.34
1751,24.59
1752,24.2
1753,25.05
1754,23.0
1755,19.84
1756,17.83
1757,18.81
1758,18.37
1759,21.22
1760,20.07
1761,15.83
1762,17.52
1763,20.29
1764,21.62
1765,20.07
1766,22.29
1767,21.5
1768,17.14
1769,18.76
1770,19.5
1771,17.14
1772,18.6
1773,19.37
1774,19.23
1775,21.63
1776,19.53
1777,21.58
1778,19.6
1779,20.35
1780,23.92
1781,23.24
1782,20.92
1783,19.84
1784,23.53
1785,23.31
1786,17.52
1787,16.6
1788,15.23
1789,15.14
1790,15.84
1791,17.99
1792,17.0
1793,17.53
1794,13.58
1795,12.07
1796,15.18
1797,15.99
1798,19.76
1799,17.88
1800,16.36
1801,13.91
1802,12.58
1803,12.74
1804,12.23
1805,14.51
1806,15.74
1807,21.58
1808,18.91
1809,20.24
1810,20.81
1811,20.83
1812,22.0
1813,22.25
1814,22.54
1815,19.18
1816,20.54
1817,19.57
1818,20.83
1819,20.08
1820,20.91
1821,21.54
1822,11.74
1823,12.99
1824,10.01
1825,9.36
1826,10.29
1827,10.84
1828,17.68
1829,19.61
1830,18.78
1831,23.25
1832,23.38
1833,19.62
1834,17.53
1835,14.08
1836,11.16
1837,17.18
1838,19.0
1839,13.36
1840,4.66
1841,7.91
1842,9.68
1843,11.6
1844,9.98
1845,9.57
1846,13.83
1847,20.91
1848,14.0
1849,11.69
1850,5.98
